Disease,Treatment,Diagnosis,Symptoms,Laymen Terms
Hyperthyroidism,"Methimazole (15 mg daily), propranolol (40 mg), radioiodine.","Low TSH (<0.1 mIU/L), high T4, thyroid uptake scan.","Rapid heartbeat, weight loss, heat intolerance, tremor.","Methimazole (15 milligrams daily), propranolol (40 milligrams), radioiodine. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Fecal Impaction,"Manual disimpaction, lactulose (30 mL), enemas.","Digital rectal exam, abdominal Xray (stool mass).","Constipation, rectal pain, bloating, overflow diarrhea.","Manual disimpaction, lactulose (30 mL), enemas. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Osteoarthrosis (Osteoarthritis),"Acetaminophen (1 g 3x daily), glucosamine (1500 mg), joint injection.","Xray (joint space narrowing), physical exam.","Joint stiffness, pain, swelling, creaking sounds.","Acetaminophen (1 g 3 times a day), glucosamine (1500 milligrams), joint injection. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Hyperphosphatemia,"Sevelamer (800 mg 3x daily), lowphosphate diet, dialysis if severe.","Serum phosphate (>4.5 mg/dL), renal function tests.","Muscle cramps, itching, fatigue, bone pain.","Sevelamer (800 milligrams 3 times a day), lowphosphate diet, dialysis if severe. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Hypokalemia,"Potassium chloride (20 mEq oral), IV potassium if severe.","Serum potassium (<3.5 mmol/L), ECG (U waves).","Weakness, cramps, palpitations, fatigue.","Potassium chloride (20 mEq oral), intravenous potassium if severe. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Reye’s Syndrome (Entry 1),"IV glucose, mannitol (0.5 g/kg IV), ICU care, avoid aspirin.","Elevated ammonia, liver enzymes (AST >100 U/L), brain CT.","Vomiting, confusion, seizures, liver dysfunction.","intravenous glucose, mannitol (0.5 g/kg intravenous), ICU care, avoid aspirin. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Illness Anxiety Disorder,"CBT, sertraline (50150 mg daily), reassurance.","DSM5 criteria, rule out physical causes via labs.","Excessive health worry, preoccupation with illness, anxiety.","CBT, sertraline (50150 milligrams daily), reassurance. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Fungal Arthritis,"Fluconazole (400 mg daily), amphotericin B (0.5 mg/kg IV), drainage.","Joint aspiration (fungal culture), MRI, blood tests.","Joint pain, swelling, stiffness, fever.","Fluconazole (400 milligrams daily), amphotericin B (0.5 milligrams/kg intravenous), drainage. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
De Quervain Tenosynovitis,"Thumb splint, naproxen (500 mg twice daily), steroid injection.","Finkelstein test, ultrasound of tendon sheath.","Thumb/wrist pain, swelling, difficulty gripping.","Thumb splint, naproxen (500 milligrams twice daily), steroid injection. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
CrimeanCongo Hemorrhagic Fever,"Ribavirin (30 mg/kg IV loading), supportive care, isolation.","RTPCR (CCHF virus), serology, tick exposure history.","Fever, bleeding, muscle pain, liver swelling.","Ribavirin (30 milligrams/kg intravenous loading), supportive care, isolation. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Food Allergy (Entry 1),"Epinephrine (0.3 mg IM), antihistamines (cetirizine 10 mg).","Skin prick test, serum IgE, oral food challenge.","Hives, swelling, wheezing, abdominal pain.","Epinephrine (0.3 milligrams IM), antihistamines (cetirizine 10 milligrams). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Muscle Cramps,"Hydration, magnesium citrate (400 mg daily), stretching.","Clinical history, electrolyte panel (e.g., magnesium).","Sudden muscle tightness, pain, stiffness.","Hydration, magnesium citrate (400 milligrams daily), stretching. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Angelman Syndrome (Entry 1),"Anticonvulsants (valproate 15 mg/kg daily), therapy, support.","Genetic testing (UBE3A mutation), EEG (delta waves).","Developmental delay, seizures, ataxia, happy demeanor.","Anticonvulsants (valproate 15 milligrams/kg daily), therapy, support. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Mouth Cancer,"Surgery, cisplatin (100 mg/m² IV), radiation therapy.","Biopsy, CT neck, HPV testing.","Oral sores, pain, difficulty swallowing, red/white patches.","Surgery, cisplatin (100 milligrams/m² intravenous), radiation therapy. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Bone Metastases,"Denosumab (120 mg SC monthly), zoledronic acid (4 mg IV).","Bone scan (hot spots), Xray, tumor markers (e.g., PSA).","Bone pain, fractures, weakness, hypercalcemia.","Denosumab (120 milligrams SC monthly), zoledronic acid (4 milligrams intravenous). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Thyroid Eye Disease,"Prednisone (40 mg daily), teprotumumab (10 mg/kg IV), lubrication.","Orbital CT, TSH levels, clinical exam (exophthalmos).","Bulging eyes, double vision, eye redness, pain.","Prednisone (40 milligrams daily), teprotumumab (10 milligrams/kg intravenous), lubrication. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
High Blood Pressure (Hypertension),"Lisinopril (10 mg daily), lifestyle changes, diuretics.","BP (>130/80 mmHg repeated), ECG, renal function.","Headache, dizziness, blurred vision, often asymptomatic.","Lisinopril (10 milligrams daily), lifestyle changes, diuretics. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Herpes Zoster Meningitis (Entry 1),"Acyclovir (10 mg/kg IV every 8 hours), prednisone (60 mg daily).","CSF PCR (VZV), MRI (meningeal enhancement).","Rash, headache, fever, neck stiffness.","Acyclovir (10 milligrams/kg intravenous every 8 hours), prednisone (60 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Leg Pain (Entry 1),"Ibuprofen (400 mg), treat cause (e.g., compression stockings).","Physical exam, Doppler ultrasound, EMG if nerverelated.","Aching, cramping, numbness, swelling.","Ibuprofen (400 milligrams), treat cause (e.g., compression stockings). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Endometrial Cancer (Entry 1),"Hysterectomy, progesterone (megestrol 160 mg daily), radiation.","Endometrial biopsy, transvaginal ultrasound, staging CT.","Postmenopausal bleeding, pelvic pain, discharge.","Hysterectomy, progesterone (megestrol 160 milligrams daily), radiation. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Descending Thoracic Aortic Aneurysm,"Surgery (if >5.5 cm), metoprolol (50 mg daily), monitor.","Chest CT (aneurysm >4 cm), MRI, echocardiography.","Back pain, cough, dysphagia, asymptomatic often.","Surgery (if >5.5 cm), metoprolol (50 milligrams daily), monitor. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Huntington’s Disease,"Tetrabenazine (25 mg 3x daily), supportive care, no cure.","Genetic test (CAG repeats >36), MRI, neuro exam.","Chorea, cognitive decline, mood swings, rigidity.","Tetrabenazine (25 milligrams 3 times a day), supportive care, no cure. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Cerebral Aneurysm,"Coil embolization, nimodipine (60 mg every 4 hours), surgery.","CT angiogram (aneurysm sac), lumbar puncture (SAH).","Sudden headache, nausea, vision loss, neck stiffness.","Coil embolization, nimodipine (60 milligrams every 4 hours), surgery. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Frontal Lobe Seizures,"Levetiracetam (500 mg twice daily), carbamazepine (200 mg twice daily).","EEG (frontal focus), MRI, video monitoring.","Sudden movements, vocalizations, nocturnal seizures.","Levetiracetam (500 milligrams twice daily), carbamazepine (200 milligrams twice daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Schizoid Personality Disorder,"Psychotherapy, lowdose SSRIs (e.g., sertraline 25 mg), support.","DSM5 criteria, psychiatric evaluation, rule out psychosis.","Social isolation, flat affect, disinterest in relationships.","Psychotherapy, lowdose SSRIs (e.g., sertraline 25 milligrams), support. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Hypertriglyceridemia,"Fenofibrate (145 mg daily), omega3 fatty acids (2 g daily).","Serum triglycerides (>150 mg/dL), lipid panel.","Asymptomatic often, abdominal pain (if severe), xanthomas.","Fenofibrate (145 milligrams daily), omega3 fatty acids (2 g daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Vitamin B3 Deficiency (Pellagra),"Niacin (100 mg 3x daily), dietary improvement, Bcomplex.","Clinical exam (3 Ds), niacin levels, diet history.","Dermatitis, diarrhea, dementia, glossitis.","Niacin (100 milligrams 3 times a day), dietary improvement, Bcomplex. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Lymphocytic Lymphoma,"Bendamustine (90 mg/m² IV), rituximab (375 mg/m² IV).","Biopsy (lymphocytic predominance), PETCT, staging.","Swollen lymph nodes, fever, night sweats, fatigue.","Bendamustine (90 milligrams/m² intravenous), rituximab (375 milligrams/m² intravenous). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
